"zip","population","city","county"
"43821",4300,"Dresden","Muskingum"
"45887",4297,"Spencerville","Allen"
"43542",4293,"Monclova","Lucas"
"45368",4215,"South Charleston","Clark"
"45369",4206,"South Vienna","Clark"
"43824",4202,"Fresno","Coshocton"
"43440",4193,"Lakeside Marblehead","Ottawa"
"43331",4147,"Lakeview","Logan"
"44837",4132,"Greenwich","Huron"
"45315",4121,"Clayton","Montgomery"
"45052",4111,"North Bend","Hamilton"
"44470",4107,"Southington","Trumbull"
"44473",4102,"Vienna","Trumbull"
"45130",4083,"Hamersville","Brown"
"44437",4068,"Mc Donald","Trumbull"
"45347",4047,"New Paris","Preble"
"44065",4020,"Newbury","Geauga"
"44084",3993,"Rock Creek","Ashtabula"
"43022",3979,"Gambier","Knox"
"44442",3977,"New Middletown","Mahoning"
"45142",3943,"Lynchburg","Highland"
"43135",3922,"Laurelville","Hocking"
"45113",3916,"Clarksville","Clinton"
"45218",3913,"Cincinnati","Hamilton"
"44643",3913,"Magnolia","Stark"
"43318",3887,"De Graff","Logan"
"45883",3882,"Saint Henry","Mercer"
"43154",3878,"Stoutsville","Fairfield"
"45118",3865,"Fayetteville","Brown"
"43102",3861,"Amanda","Fairfield"
"44234",3834,"Hiram","Portage"
"43804",3833,"Baltic","Tuscarawas"
"43412",3810,"Curtice","Ottawa"
"45159",3765,"New Vienna","Clinton"
"44403",3756,"Brookfield","Trumbull"
"43517",3748,"Edgerton","Williams"
"45341",3736,"Medway","Clark"
"45843",3733,"Forest","Hardin"
"45144",3732,"Manchester","Adams"
"45760",3730,"Middleport","Meigs"
"45053",3707,"Okeana","Butler"
"45831",3706,"Continental","Putnam"
"45686",3704,"Vinton","Gallia"
"44824",3682,"Castalia","Erie"
"43014",3668,"Danville","Knox"
"44847",3663,"Monroeville","Huron"
"45850",3652,"Harrod","Allen"
"45723",3631,"Coolville","Athens"
"44436",3615,"Lowellville","Mahoning"
"44304",3577,"Akron","Summit"
"43450",3572,"Pemberville","Wood"
"45771",3562,"Racine","Meigs"
"44217",3548,"Creston","Wayne"
"45813",3538,"Antwerp","Paulding"
"45652",3497,"Mc Dermott","Scioto"
"45653",3487,"Minford","Scioto"
"43522",3477,"Grand Rapids","Wood"
"43342",3465,"Prospect","Marion"
"43910",3447,"Bloomingdale","Jefferson"
"43046",3445,"Millersport","Fairfield"
"44609",3432,"Beloit","Mahoning"
"43532",3428,"Liberty Center","Henry"
"44846",3419,"Milan","Erie"
"44822",3418,"Butler","Richland"
"45167",3416,"Ripley","Brown"
"44865",3411,"Plymouth","Richland"
"45623",3408,"Crown City","Gallia"
