zip code,population
45813,"3,538"
45652,"3,497"
45653,"3,487"
43522,"3,477"
43342,"3,465"
43910,"3,447"
43046,"3,445"
44609,"3,432"
43532,"3,428"
44846,"3,419"
44822,"3,418"
45167,"3,416"
44865,"3,411"
45623,"3,408"
43570,"3,386"
44452,"3,383"
44491,"3,372"
45784,"3,365"
44704,"3,329"
43107,"3,320"
44253,"3,291"
45064,"3,274"
45742,"3,233"
43943,"3,227"
43447,"3,214"
45832,"3,207"
45390,"3,202"
43557,"3,201"
43787,"3,200"
44864,"3,198"
44085,"3,195"
44288,"3,164"
44428,"3,154"
44445,"3,153"
43945,"3,139"
44040,"3,086"
45613,"3,082"
45370,"3,080"
44264,"3,072"
45845,"3,062"
44880,"3,043"
44878,"3,028"
44840,"3,013"
45629,"3,009"
44451,"2,995"
44645,"2,995"
43416,"2,970"
45645,"2,963"
43314,"2,943"
43748,"2,938"
43518,"2,937"
43917,"2,934"
43521,"2,931"
45880,"2,923"
43773,"2,896"
44275,"2,893"
43569,"2,887"
44402,"2,882"
44629,"2,877"
45054,"2,837"
44688,"2,831"
45203,"2,828"
45882,"2,813"
45647,"2,811"
45844,"2,808"
43469,"2,805"
45786,"2,797"
45780,"2,791"
45659,"2,788"
43758,"2,776"
44626,"2,767"
45679,"2,763"
44506,"2,762"
45658,"2,754"
45814,"2,753"
43003,"2,749"
43310,"2,734"
43942,"2,732"
45767,"2,725"
43718,"2,724"
43516,"2,696"
43730,"2,696"
43739,"2,684"
43060,"2,675"
44429,"2,674"
44843,"2,667"
43149,"2,654"
45120,"2,639"
44867,"2,632"
45860,"2,632"
44099,"2,618"
43116,"2,607"
43719,"2,599"
44666,"2,596"
43001,"2,586"
45162,"2,562"
45858,"2,540"
43358,"2,525"
45325,"2,521"
44882,"2,514"
44656,"2,508"
43324,"2,503"
44412,"2,497"
44401,"2,459"
44423,"2,455"
43466,"2,455"
44836,"2,435"
45715,"2,433"
43008,"2,428"
44611,"2,425"
44859,"2,418"
44633,"2,406"
44677,"2,391"
45724,"2,382"
44608,"2,367"
43150,"2,367"
44215,"2,363"
45384,"2,348"
43527,"2,338"
45744,"2,338"
44048,"2,332"
44214,"2,325"
43155,"2,322"
43944,"2,317"
45877,"2,305"
44849,"2,303"
45306,"2,303"
45874,"2,302"
43973,"2,295"
44086,"2,286"
43988,"2,277"
44411,"2,266"
44637,"2,255"
43136,"2,255"
44818,"2,254"
43137,"2,233"
44046,"2,231"
44814,"2,224"
43164,"2,222"
43340,"2,210"
45303,"2,209"
43071,"2,205"
45346,"2,192"
44866,"2,192"
43128,"2,177"
44510,"2,173"
43217,"2,172"
44443,"2,159"
43771,"2,157"
44450,"2,081"
43977,"2,062"
45334,"2,048"
43903,"2,034"
43946,"2,025"
45174,"2,023"
43348,"2,019"
43554,"2,018"
43145,"2,017"
43933,"2,013"
43009,"2,008"
45827,"2,002"
44441,"1,990"
45682,"1,977"
43464,"1,935"
43780,"1,934"
45873,"1,933"
45775,"1,925"
45871,"1,916"
43901,"1,915"
